store_id,store_name,city,states,store_count
973,Cement Mason,Fort Worth,Texas,31
974,Ironworker,Columbus,Ohio,41
975,Laborer,Indianapolis,Indiana,45
976,Welder,Charlotte,North Carolina,38
977,Carpenter,San Francisco,California,43
978,Cement Mason,Seattle,Washington,33
979,Tile Setter,Denver,Colorado,48
980,Electrician,Boston,Massachusetts,33
981,Millwright,New York,New York,43
982,Brickmason,Los Angeles,California,46
983,Tile Setter,Chicago,Illinois,40
984,Welder,Houston,Texas,42
985,Welder,Phoenix,Arizona,47
986,Landscaper,San Antonio,Texas,48
987,Painter,Philadelphia,Pennsylvania,41
988,Stucco Mason,San Diego,California,39
989,Plasterers,Dallas,Texas,48
990,Boilermaker,San Jose,California,41
991,Pipefitter,Austin,Texas,49
992,Landscaper,Jacksonville,Florida,33
993,Waterproofer,Fort Worth,Texas,30
994,Refrigeration,Columbus,Ohio,30
995,Landscaper,Indianapolis,Indiana,50
996,Waterproofer,Charlotte,North Carolina,48
997,Sheet Metal Worker,San Francisco,California,37
998,Cement Mason,Seattle,Washington,46
